pg_id,title,author,year,fictionality,language,pages
74499,"Le dernier rapport d'un européen sur Ghât et les Touareg de l'Aïr : journal de voyage d'Erwin de Bary, 1876-1877 / traduit et annoté par Henri Schirmer.","Bary, Erwin de, 1846-1877.",1898,0,fre,215.0
22964,"Sense and sensibilia,","Austin, J. L. 1911-1960.",1962,0,eng,144.0
35322,"The thistle and the cedar of Lebanon, by Habeeb Risk Allah Effendi.","Risk Allah, Habeeb.",1854,0,eng,400.0
9196,"The clockmaker; or, the sayings and doings of Samuel Slick of Slickville. Third series.","Haliburton, Thomas Chandler, 1796-1865.",1840,0,eng,2.0
71291,"Physical significance of entropy or of the second law, by J. F. Klein.","Klein, Joseph Frederic, 1849-1918.",1910,0,eng,98.0
22437,The price of love; a tale.,"Bennett, Arnold, 1867-1931.",1962,0,eng,
74588,"The boys of Columbia High on the ice, or, Out for the hockey championship / by Graham B. Forbes.","Forbes, Graham B.",1911,1,eng,229.0
6535,The atomic bombings of Hiroshima and Nagasaki / by The Manhattan Engineering District.,United States. Army. Corps of Engineers. Manhattan District.,1946,0,eng,
58970,"Handbook of German idioms, by M.B. Lambert ...","Lambert, Marcus Bachman, 1862-",1910,0,eng,100.0
2559,The Forsythe saga.,"Galsworthy, John, 1867-1933.",1927,0,eng,
9346,Notes on life and letters / by Joseph Conrad.,"Conrad, Joseph, 1857-1924.",1949,0,eng,266.0
47475,Chronicles of London Bridge / by an antiquary.,"Thomson, Richard, 1794-1865.",1827,0,eng,687.0
44168,Storia delle repubbliche italiane dei secoli di mezzo / di J.C.L. Simondo Sismondi ; traduzione dal francese.,"Sismondi, J.-C.-L. Simonde de 1773-1842.",1832,0,ita,
21370,Goops and how to be them : a manual of manners for polite infants inculcating many juvenile virtues both by precept and example / with ninety drawings by Gelett Burgess.,"Burgess, Gelett, 1866-1951.",1900,0,eng,
21586,The sign of four.,"Doyle, Arthur Conan, 1859-1930.",1908,0,eng,285.0
18011,The portion of labor.,"Freeman, Mary Eleanor Wilkins, 1852-1930.",1905,0,eng,563.0
26400,La géometrie.,"Descartes, René, 1596-1650.",1886,0,fre,91.0
34049,"The settlement of Illinois, 1778-1830 / Arthur C. Boggess.","Boggess, Arthur Clinton.",1968,0,eng,267.0
20691,Sarrasine / Balzac. L'Hermaphrodite / par Michel Serres.,"Balzac, Honoré de, 1799-1850.",1989,0,fre,183.0
